"sha256","count","bytes","kind","paths"
"592D4701921C4A677E3AA6FD69BB3E1662356AE69976D52612CB3BF0B9DEF5F7","4","157482","brand","MAGNE.AI/assets/brand/ecosystem/crmclick.png | MAGNE.AI/assets/brand/ecosystem/ecosystem/crmclick.png | MAGNE.AI/assets/brand/partners/crmclick.png | MAGNE.AI/assets/brand/partners/ecosystem/crmclick.png"
"ADD3482301BFBFBEF70CC2830AC845362EA7BE406EB59C1A09FDDC299A496955","3","1101","brand","MAGNE.AI/assets/brand/ecosystem/depinscan.png | MAGNE.AI/assets/brand/partners/depinscan.png | MAGNE.AI/assets/brand/partners/ecosystem/depinscan.png"
"5939D444D6577FD4C3D1D7BB6839810AE1887F1A8AED85F28DCBB0F05F5B16B5","2","1101","brand","MAGNE.AI/assets/brand/ecosystem/depinscan_web.png | MAGNE.AI/assets/brand/partners/ecosystem/depinscan_web.png"
"8CAC8748A63DEDECFDA8FDB95F720A1517D08E9BB6B0E085BB8B63014145C3CD","4","1261","brand","MAGNE.AI/assets/brand/ecosystem/dmail.svg | MAGNE.AI/assets/brand/ecosystem/ecosystem/dmail.svg | MAGNE.AI/assets/brand/partners/dmail.svg | MAGNE.AI/assets/brand/partners/ecosystem/dmail.svg"
"B0F2CA19EA4EC75BF69D34F5E4B0CA0C5A63449B41A7903A08DE66CFF0AEB986","2","8272","brand","MAGNE.AI/assets/brand/ecosystem/dmail_web.png | MAGNE.AI/assets/brand/partners/ecosystem/dmail_web.png"
"755964B8A56DFB091EE832DA94F60FEA0EC402A74944683D8BB0D353BFDF4BE0","4","5550","brand","MAGNE.AI/assets/brand/ecosystem/duckdao.png | MAGNE.AI/assets/brand/partners/duckdao.png | MAGNE.AI/assets/brand/partners/ecosystem/duckdao.png | MAGNE.AI/assets/brand/partners/strategic/duckdao.png"
"F67A9262801B741E892C4483A51AA98A8CB4605AD3DB6E4274C47A9842E35EA5","2","2913","brand","MAGNE.AI/assets/brand/ecosystem/duckdao_web.png | MAGNE.AI/assets/brand/partners/ecosystem/duckdao_web.png"
"2970C8C176061859FC06F08CC7FB3E1D9A1185E4660BF3E478E223CC7CC65A0A","4","18074","brand","MAGNE.AI/assets/brand/ecosystem/eni.png | MAGNE.AI/assets/brand/ecosystem/ecosystem/eni.png | MAGNE.AI/assets/brand/partners/eni.png | MAGNE.AI/assets/brand/partners/ecosystem/eni.png"
"5A4B7A4EFC85F7F2B474ED575638BA36074B60EE3042B314747D275011CF8D25","3","9011","brand","MAGNE.AI/assets/brand/ecosystem/eni_web.png | MAGNE.AI/assets/brand/ecosystem/ecosystem/eni_web.png | MAGNE.AI/assets/brand/partners/ecosystem/eni_web.png"
"EB5851A0601433A32092DBE9F461ACB04ABE5B44593E386E31DBC181B1C33C73","3","69809","brand","MAGNE.AI/assets/brand/ecosystem/evx.png | MAGNE.AI/assets/brand/ecosystem/ecosystem/evx.png | MAGNE.AI/assets/brand/partners/ecosystem/evx.png"
"98253D49549BFB5A02494964EAFD3F19E1A503F01BA0AF9CBB892D168F66266C","3","5950","brand","MAGNE.AI/assets/brand/ecosystem/evx_web.png | MAGNE.AI/assets/brand/ecosystem/ecosystem/evx_web.png | MAGNE.AI/assets/brand/partners/ecosystem/evx_web.png"
"74347666D61C4A39E038217C49E512044250A566BF6EC6C26578ACB64EE30FF1","7","3090","brand","MAGNE.AI/assets/brand/ecosystem/fih-white.svg | MAGNE.AI/assets/brand/ecosystem/mexc.svg | MAGNE.AI/assets/brand/ecosystem/ecosystem/fih-white.svg | MAGNE.AI/assets/brand/ecosystem/ecosystem/mexc.svg | MAGNE.AI/assets/brand/partners/fih-white.svg | MAGNE.AI/assets/brand/partners/ecosystem/fih-white.svg | MAGNE.AI/assets/brand/partners/ecosystem/mexc.svg"
"EA205862D299C1F15F6A1269D145B4ACA01DFFCEF04CA169459C720D65F5C442","4","14004","brand","MAGNE.AI/assets/brand/ecosystem/fognet.png | MAGNE.AI/assets/brand/ecosystem/ecosystem/fognet.png | MAGNE.AI/assets/brand/partners/fognet.png | MAGNE.AI/assets/brand/partners/ecosystem/fognet.png"
"A13F6AA3FDBF96A33A5B43D6A00003E5E74D87B1AD10DA29F1A32BBC77B6C1E1","2","2322","brand","MAGNE.AI/assets/brand/ecosystem/fognet_web.png | MAGNE.AI/assets/brand/partners/ecosystem/fognet_web.png"
